TransactionID,CustomerID,TransactionDate,Amount,TransactionType,Merchant,Balance
1,8989,01-01-2018 00:00,1576.73,Credit,Uber,1576.73
2,5277,01-01-2018 01:00,7390.34,Debit,Target,7390.34
3,8956,01-01-2018 02:00,8904.52,Credit,BestBuy,8904.52
4,9036,01-01-2018 03:00,5602.09,Credit,Netflix,5602.09
5,6473,01-01-2018 04:00,7369.77,Credit,Starbucks,7369.77
6,5477,01-01-2018 05:00,5225.43,Credit,BestBuy,5225.43
7,5509,01-01-2018 06:00,5621.45,Credit,Starbucks,5621.45
8,5756,01-01-2018 07:00,5772.85,Credit,Apple Store,5772.85
9,7970,01-01-2018 08:00,2560.03,Credit,Apple Store,2560.03
10,8348,01-01-2018 09:00,7654.37,Debit,Target,7654.37
11,9126,01-01-2018 10:00,4171.43,Debit,Walmart,4171.43
12,6998,01-01-2018 11:00,604.09,Credit,Walmart,604.09
13,6400,01-01-2018 12:00,4849.72,Debit,Netflix,4849.72
14,6061,01-01-2018 13:00,1247.48,Debit,Amazon,1247.48
15,9646,01-01-2018 14:00,7993.23,Debit,Apple Store,7993.23
16,9771,01-01-2018 15:00,1718.83,Debit,Walmart,1718.83
17,5355,01-01-2018 16:00,9030.47,Credit,Target,9030.47
18,8008,01-01-2018 17:00,8883.51,Credit,BestBuy,8883.51
19,9362,01-01-2018 18:00,8884.26,Credit,Apple Store,8884.26
20,5289,01-01-2018 19:00,3172.72,Credit,Target,3172.72
21,6043,01-01-2018 20:00,3172.98,Credit,Amazon,3172.98
22,6515,01-01-2018 21:00,3625.31,Debit,Netflix,3625.31
23,7217,01-01-2018 22:00,8808.33,Debit,Uber,8808.33
24,5012,01-01-2018 23:00,3817.28,Debit,Amazon,3817.28
25,5388,02-01-2018 00:00,5663.23,Credit,Starbucks,5663.23
26,6957,02-01-2018 01:00,9711.26,Credit,Starbucks,9711.26
27,7783,02-01-2018 02:00,6983.6,Credit,Uber,6983.6
28,8677,02-01-2018 03:00,7967.08,Debit,Starbucks,7967.08
29,8419,02-01-2018 04:00,4593.7,Debit,BestBuy,4593.7
30,7404,02-01-2018 05:00,7575.49,Credit,Starbucks,7575.49
31,9728,02-01-2018 06:00,7987.61,Debit,Uber,7987.61
32,6915,02-01-2018 07:00,6832.9,Credit,Target,6832.9
33,8242,02-01-2018 08:00,9993.05,Credit,Amazon,9993.05
34,8240,02-01-2018 09:00,793.47,Debit,Target,793.47
35,8755,02-01-2018 10:00,8322.92,Credit,Netflix,8322.92
36,7204,02-01-2018 11:00,2173.02,Debit,Target,2173.02
37,6347,02-01-2018 12:00,6274.03,Credit,BestBuy,6274.03
38,6219,02-01-2018 13:00,8172.43,Debit,Amazon,8172.43
39,8770,02-01-2018 14:00,6497.47,Debit,Target,6497.47
40,5061,02-01-2018 15:00,2739.75,Debit,Apple Store,2739.75
41,5497,02-01-2018 16:00,3071.1,Debit,Walmart,3071.1
42,5737,02-01-2018 17:00,6003.31,Debit,Uber,6003.31
43,5914,02-01-2018 18:00,9054.65,Credit,Walmart,9054.65
44,7765,02-01-2018 19:00,6571.65,Credit,BestBuy,6571.65
45,9963,02-01-2018 20:00,4246.42,Credit,Walmart,4246.42
46,8649,02-01-2018 21:00,8648.91,Credit,BestBuy,8648.91
47,7374,02-01-2018 22:00,2990.2,Credit,Target,2990.2
48,8847,02-01-2018 23:00,5269.53,Debit,Netflix,5269.53
49,9617,03-01-2018 00:00,3098.21,Credit,Target,3098.21
50,7228,03-01-2018 01:00,7851.21,Credit,Amazon,7851.21
51,7533,03-01-2018 02:00,2010.06,Debit,Uber,2010.06
52,8608,03-01-2018 03:00,6560.13,Debit,Amazon,6560.13
53,6222,03-01-2018 04:00,6599.08,Debit,Uber,6599.08
54,9191,03-01-2018 05:00,9311.58,Debit,Walmart,9311.58
55,9885,03-01-2018 06:00,4414.75,Credit,Netflix,4414.75
56,8632,03-01-2018 07:00,4965.82,Credit,Walmart,4965.82
57,5088,03-01-2018 08:00,5989.19,Debit,BestBuy,5989.19
58,7994,03-01-2018 09:00,1273.49,Debit,BestBuy,1273.49
59,6681,03-01-2018 10:00,4553.39,Debit,BestBuy,4553.39
60,8581,03-01-2018 11:00,1505.31,Credit,Amazon,1505.31
61,5523,03-01-2018 12:00,7879.05,Debit,BestBuy,7879.05
62,5464,03-01-2018 13:00,3272.95,Credit,Apple Store,3272.95
63,9194,03-01-2018 14:00,4371.54,Credit,Netflix,4371.54
64,5654,03-01-2018 15:00,2834.87,Debit,Uber,2834.87
65,5452,03-01-2018 16:00,2575.41,Credit,BestBuy,2575.41
66,5291,03-01-2018 17:00,9875.48,Credit,BestBuy,9875.48
67,8668,03-01-2018 18:00,8330.16,Debit,Walmart,8330.16
68,6833,03-01-2018 19:00,4494.11,Debit,Netflix,4494.11
69,8674,03-01-2018 20:00,8285.03,Credit,Walmart,8285.03
70,6917,03-01-2018 21:00,6768.07,Debit,Starbucks,6768.07
71,9396,03-01-2018 22:00,4095.9,Debit,BestBuy,4095.9
72,8613,03-01-2018 23:00,284.87,Debit,BestBuy,284.87
73,8878,04-01-2018 00:00,9135.68,Credit,Netflix,9135.68
74,6209,04-01-2018 01:00,2272.27,Debit,Netflix,2272.27
75,9125,04-01-2018 02:00,7248.75,Debit,Target,7248.75
76,5250,04-01-2018 03:00,8155.03,Credit,Starbucks,8155.03
77,7668,04-01-2018 04:00,5869.77,Debit,BestBuy,5869.77
78,6463,04-01-2018 05:00,6569.47,Credit,Uber,6569.47
79,8284,04-01-2018 06:00,692.26,Debit,Target,692.26
80,5343,04-01-2018 07:00,5606.4,Debit,Target,5606.4
81,8925,04-01-2018 08:00,2969.1,Credit,Starbucks,2969.1
82,7393,04-01-2018 09:00,5680.9,Debit,Netflix,5680.9
83,6348,04-01-2018 10:00,6043.88,Credit,Amazon,6043.88
84,9962,04-01-2018 11:00,737.72,Credit,Netflix,737.72
85,5085,04-01-2018 12:00,4374.35,Debit,Apple Store,4374.35
86,6040,04-01-2018 13:00,8470.79,Debit,BestBuy,8470.79
87,7291,04-01-2018 14:00,1214.45,Debit,BestBuy,1214.45
88,6981,04-01-2018 15:00,7493.15,Credit,Uber,7493.15
89,9875,04-01-2018 16:00,5521.44,Debit,BestBuy,5521.44
90,6932,04-01-2018 17:00,6144.15,Debit,Apple Store,6144.15
91,8010,04-01-2018 18:00,222.81,Credit,Target,222.81
92,5380,04-01-2018 19:00,8638.75,Debit,Walmart,8638.75
93,5778,04-01-2018 20:00,9027.22,Debit,Walmart,9027.22
94,8306,04-01-2018 21:00,6237.45,Credit,Starbucks,6237.45
95,8455,04-01-2018 22:00,9881.09,Credit,Starbucks,9881.09
96,5123,04-01-2018 23:00,3023.35,Debit,Starbucks,3023.35
97,6083,05-01-2018 00:00,2092,Credit,Walmart,2092
98,9596,05-01-2018 01:00,1472.65,Debit,BestBuy,1472.65
99,7057,05-01-2018 02:00,1811.07,Credit,Starbucks,1811.07
100,5970,05-01-2018 03:00,347.58,Debit,Target,347.58
101,6449,05-01-2018 04:00,7035.79,Credit,Walmart,7035.79
102,8218,05-01-2018 05:00,7732.95,Credit,BestBuy,7732.95
103,9552,05-01-2018 06:00,122.35,Credit,BestBuy,122.35
104,9707,05-01-2018 07:00,2340.82,Debit,Apple Store,2340.82
105,6806,05-01-2018 08:00,2185.22,Credit,Uber,2185.22
106,9822,05-01-2018 09:00,6341.56,Credit,Starbucks,6341.56
107,7644,05-01-2018 10:00,7879.63,Debit,Apple Store,7879.63
108,8669,05-01-2018 11:00,7186.8,Credit,Starbucks,7186.8
109,6528,05-01-2018 12:00,7621.41,Credit,Walmart,7621.41
110,9382,05-01-2018 13:00,7128.04,Debit,Target,7128.04
111,9302,05-01-2018 14:00,7605.73,Credit,Uber,7605.73
112,9645,05-01-2018 15:00,5621.02,Credit,Apple Store,5621.02
113,8327,05-01-2018 16:00,5462.15,Debit,Uber,5462.15
114,7739,05-01-2018 17:00,8223.87,Debit,Apple Store,8223.87
115,7958,05-01-2018 18:00,6123.93,Debit,Netflix,6123.93
116,7001,05-01-2018 19:00,1463.23,Credit,Uber,1463.23
117,5713,05-01-2018 20:00,8659.59,Debit,Target,8659.59
118,5881,05-01-2018 21:00,4820.4,Debit,Walmart,4820.4
119,7647,05-01-2018 22:00,2524.69,Debit,Uber,2524.69
120,8246,05-01-2018 23:00,3758.76,Debit,Amazon,3758.76
121,7999,06-01-2018 00:00,5700.37,Debit,Starbucks,5700.37
122,5242,06-01-2018 01:00,3940.87,Credit,Walmart,3940.87
123,5659,06-01-2018 02:00,5925.26,Debit,Target,5925.26
124,5996,06-01-2018 03:00,5612.01,Credit,BestBuy,5612.01
125,5970,06-01-2018 04:00,5521.5,Debit,BestBuy,5869.08
126,6540,06-01-2018 05:00,5658.45,Credit,Apple Store,5658.45
127,5650,06-01-2018 06:00,3195.18,Debit,Starbucks,3195.18
128,7817,06-01-2018 07:00,8620.14,Credit,Uber,8620.14
129,8763,06-01-2018 08:00,5325.19,Credit,Target,5325.19
130,6269,06-01-2018 09:00,462.32,Debit,Uber,462.32
131,7195,06-01-2018 10:00,2948.78,Debit,Target,2948.78
132,5818,06-01-2018 11:00,7172.16,Credit,Target,7172.16
133,8057,06-01-2018 12:00,6657.49,Debit,Uber,6657.49
134,9765,06-01-2018 13:00,1950.77,Credit,Walmart,1950.77
135,6199,06-01-2018 14:00,9982.33,Credit,Target,9982.33
136,5768,06-01-2018 15:00,6261.06,Debit,Uber,6261.06
137,9514,06-01-2018 16:00,3274.53,Debit,Apple Store,3274.53
138,6945,06-01-2018 17:00,3929.04,Debit,Walmart,3929.04
139,7824,06-01-2018 18:00,9196.65,Debit,Amazon,9196.65
140,8184,06-01-2018 19:00,4314.09,Debit,Target,4314.09
141,9628,06-01-2018 20:00,2414.75,Credit,Amazon,2414.75
142,8151,06-01-2018 21:00,3440.14,Debit,Target,3440.14
143,5907,06-01-2018 22:00,5304.14,Debit,BestBuy,5304.14
144,5227,06-01-2018 23:00,1581.22,Debit,Uber,1581.22
145,6626,07-01-2018 00:00,514.53,Credit,Uber,514.53
146,6350,07-01-2018 01:00,4039.52,Debit,Uber,4039.52
147,8037,07-01-2018 02:00,8963.05,Debit,Apple Store,8963.05
148,9273,07-01-2018 03:00,9271.4,Credit,Netflix,9271.4
149,7013,07-01-2018 04:00,8324.03,Debit,Starbucks,8324.03
150,9563,07-01-2018 05:00,1708.31,Debit,Apple Store,1708.31
151,9717,07-01-2018 06:00,492.57,Credit,BestBuy,492.57
152,6895,07-01-2018 07:00,5281.2,Debit,Uber,5281.2
153,7307,07-01-2018 08:00,6769.66,Credit,Target,6769.66
154,5270,07-01-2018 09:00,6561.08,Debit,Netflix,6561.08
155,9507,07-01-2018 10:00,2709.28,Debit,Target,2709.28
156,5392,07-01-2018 11:00,3384.7,Credit,Target,3384.7
157,9989,07-01-2018 12:00,9676.07,Debit,Amazon,9676.07
158,5593,07-01-2018 13:00,4270.36,Debit,Target,4270.36
159,7609,07-01-2018 14:00,6484.25,Credit,Target,6484.25
160,7584,07-01-2018 15:00,5009.17,Debit,Apple Store,5009.17
161,5307,07-01-2018 16:00,8548.5,Debit,Amazon,8548.5
